movie_id,original_id,name,date,tagline,description,minute,theatrical_release_age_rating,rating
2541,1006107,Samaritan,2022,25 years ago the world's greatest hero vanished.,"Thirteen year old Sam Cleary  suspects that his mysteriously reclusive neighbor Mr. Smith is actually the legendary vigilante Samaritan, who was reported dead 20 years ago. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin.",102,,2.34
2542,1006108,Love & Friendship,2016,A lady never reveals her tactics.,"From Jane Austen’s novella, the beautiful and cunning Lady Susan Vernon visits the estate of her in-laws to wait out colorful rumors of her dalliances and to find husbands for herself and her daughter. Two young men, handsome Reginald DeCourcy and wealthy Sir James Martin, severely complicate her plans.",94,PG-13,3.42
2543,1006109,They Live by Night,1948,Cops or no cops I'm going through!,"An escaped convict, injured during a robbery, falls in love with the woman who nurses him back to health, but their relationship seems doomed from the beginning.",96,NR,3.88
2544,1006111,Transporter 3,2008,"This time, the rules are the same. Except one.","Frank Martin puts the driving gloves on to deliver Valentina, the kidnapped daughter of a Ukranian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery and not let his personal feelings get in the way of his dangerous objective.",104,PG-13,2.53
2545,1006114,Stalag 17,1953,"The star-spangled, laugh-loaded salute to our P.W. heroes!","It's a dreary Christmas 1944 for the American POWs in Stalag 17 and the men in Barracks 4, all sergeants, have to deal with a grave problem—there seems to be a security leak.",120,NR,3.98
2546,1006115,The Pledge,2001,"Detective Jerry Black has made a promise he can't break, to catch a killer he can't find.",A police chief about to retire pledges to help a woman find her daughter's killer.,123,R,3.32
2547,1006120,Fool's Gold,2008,This February true love takes a dive.,"Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch, hired by rapper-turned-gangster Bigg Bunny, will stop at nothing to beat him to it.",112,PG-13,2.58
2548,1006123,Lost in America,1985,A down to earth comedy,"David and Linda Howard are successful yuppies from LA. When he gets a job disappointment, David convinces Linda that they should quit their jobs, liquidate their assets, and emulate the movie Easy Rider, spending the rest of their lives traveling around America...in a Winnebago.",91,R,3.71
2549,1006128,Louder Than Bombs,2015,Break the silence.,"Three years after his wife, acclaimed photographer Isabelle Reed, dies in a car crash, Gene keeps everyday life going with his shy teenage son, Conrad. A planned exhibition of Isabelle’s photographs prompts Gene's older son, Jonah, to return to the house he grew up in - and for the first time in a very long time, the father and the two brothers are living under the same roof.",105,,3.45
2550,1006130,Smithereens,1982,She was a legend in her own mind.,A narcissistic runaway engages in a number of parasitic relationships amongst members of New York's waning punk scene.,94,R,3.58
2551,1006135,Jersey Girl,2004,He wanted it all...but he got more than he bargained for.,"Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter.",102,PG-13,2.83
2552,1006139,Clash of the Titans,1981,You will feel the power. Live the adventure. Experience the fantastic.,"To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, Perseus must complete various tasks including taming Pegasus, capturing Medusa's head, and battling the Kraken monster.",118,PG,3.34
2553,1006141,City Slickers,1991,Yesterday they were businessmen. Today they're cowboys. Tomorrow they'll be walking funny.,"Three New York businessmen decide to take a ""Wild West"" vacation that turns out not to be the relaxing vacation they had envisioned.",114,PG-13,3.33
