movie_id,original_id,name,date,tagline,description,minute,theatrical_release_age_rating,rating
2567,1006181,Payback,1999,No More Mr. Nice Guy.,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.",100,R,3.32
2568,1006184,The Tuxedo,2002,Suit up for action!,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.",98,PG-13,2.37
2569,1006185,"Now, Voyager",1942,It happens in the best of families. But you'd never think it could happen to her!,A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.,117,NR,3.89
2570,1006186,A Shaun the Sheep Movie: Farmageddon,2019,Close encounters of the furred kind.,"When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",87,,3.34
2571,1006192,The Night of the 12th,2022,Some crimes will haunt you.,"Young and ambitious Captain Vivés has just been appointed group leader at the Grenoble Criminal Squad when Clara's murder case lands on his desk. Vivés and his team investigate Clara's complex life and relations, but what starts as a professional and methodical immersion into the victim's life soon turns into a haunting obsession.",114,,3.52
2572,1006193,"Hello, Dolly!",1969,Come anytime for the time of your life!,"Dolly Levi is a strong-willed matchmaker who travels to Yonkers, New York in order to see the miserly ""well-known unmarried half-a-millionaire"" Horace Vandergelder. In doing so, she convinces his niece, his niece's intended, and Horace's two clerks to travel to New York City.",149,G,3.7
2573,1006194,The Last Witch Hunter,2015,Live forever. Hunt forever.,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",106,PG-13,2.32
2574,1006195,The Band Wagon,1953,Get Aboard!,A Broadway artiste turns a faded film star's comeback vehicle into an artsy flop.,112,NR,3.8
2575,1006202,The House,2017,"If you can't beat the house, be... The House","When Scott and Kate Johansen’s daughter gets into the college of her dreams it’s cause for celebration. That is, until Scott and Kate learn that the scholarship they were counting on didn’t come through, and they’re now on the hook for tuition they can’t begin to afford. With the help of their friend and neighbor Frank also in need of a major payday they decide to open an illegal casino in his suburban house, risking everything together on a Vegas-style bacchanal where money flows, inhibitions are checked at the door, and all bets are off.",88,R,2.5
2576,1006203,Eyes of Laura Mars,1978,She saw life through the camera’s eye. Then suddenly she saw death.,A famous fashion photographer develops a disturbing ability to see through the eyes of a serial killer.,104,R,3.23
2577,1006207,Homefront,2013,How far would you go to protect your home?,"Phil Broker is a former DEA agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss' son. He is recently widowed and is left with a 9-years-old daughter, Maddy. He decides to quit the turbulent and demanding life of thrill for Maddy's sake and retires to a small town. His daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past history with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands.",100,R,2.79
