actor_name,avg_rating,count,is_star
Albert Pollet,3.4347368421052633,19,True
Albert Popwell,3.3850000000000002,10,True
Albert Salmi,3.234,15,False
Alberta Nelson,2.9050000000000002,8,False
Alberta Watson,3.22,4,False
Alberto Morin,3.395581395348837,43,True
Aldis Hodge,2.9933333333333336,3,False
Aldo Ray,3.289230769230769,13,True
Aldo Sambrell,3.565,10,True
Aldrich Bowker,3.368,10,True
Alec Baldwin,3.1595238095238094,21,False
Alec Craig,3.417560975609756,41,True
Alec Guinness,3.4971428571428573,7,True
Alec McCowen,3.26375,8,False
Alejandro Rey,3.096,10,False
Alessandro Juliani,3.14,1,False
Alessandro Nivola,3.0366666666666666,3,False
Alex Ball,3.387272727272727,11,True
Alex Brown,3.3855555555555554,9,True
Alex Bruhanski,2.915,4,False
Alex Colon,3.252727272727273,11,False
Alex D. Linz,2.934285714285714,7,False
Alex Daniels,2.694,5,False
Alex Diakun,3.1119999999999997,5,False
Alex Gerry,3.464736842105263,19,True
Alex Hyde-White,2.9949999999999997,6,False
Alex Karras,3.2675,8,True
Alex Melesh,3.2479999999999998,10,False
Alex Montoya,3.4366666666666665,9,True
Alex Morris,2.6950000000000003,4,False
Alex Nicol,3.2044444444444444,9,False
Alex Norton,3.30125,8,True
Alex Rocco,3.258095238095238,21,False
Alex Rodine,3.10375,8,False
Alex Romero,3.4883333333333333,6,True
Alex Stevens,3.222857142857143,7,False
Alex Trebek,3.0050000000000003,6,False
Alex Winter,3.2825,4,True
Alexa PenaVega,2.9142857142857146,7,False
Alexander Campbell,3.7057142857142855,7,True
Alexander D'Arcy,3.358181818181818,11,True
Alexander Gould,2.6500000000000004,2,False
Alexander Granach,3.5275,8,True
Alexander Knox,3.301176470588235,17,True
Alexander Lockwood,3.435625,16,True
Alexander Pollard,3.4562068965517243,29,True
Alexander Scourby,3.3455555555555554,9,True
Alexander Siddig,2.855,2,False
Alexander Skarsgård,3.33,1,False
Alexandra Balahoutis,3.1719999999999997,5,False
Alexandra Paul,2.9785714285714286,7,False
Alexandra Powers,3.27,7,True
Alexis Arquette,3.116,10,False
Alexis Smith,3.29125,24,True
Alfie Wise,3.085,8,False
Alfonso Arau,3.315,6,True
Alfonso Bedoya,3.5416666666666665,6,True
Alfre Woodard,3.279375,16,True
Alfred Dennis,3.368,5,True
Alfred Enoch,3.675,2,False
Alfred Hitchcock,3.679130434782609,23,True
Alfred Linder,3.315,6,True
Alfred Molina,3.3013333333333335,15,True
Alfred Paix,3.4466666666666668,6,True
Ali Larter,3.152,5,False
Ali Marsh,2.9525,4,False
Alice Brady,3.46,9,True
Alice Braga,4.53,1,False
Alice Cooper,3.09,6,False
Alice Dinnean,3.19,2,False
Alice Drummond,3.288,15,True
Alice Faye,3.33125,8,True
Alice Ghostley,3.065,6,False
Alice Hirson,3.08,10,False
Alice Keating,3.662857142857143,7,True
Alice Krige,3.125833333333333,12,False
Alice Pearce,3.307142857142857,7,True
Alice Playten,3.1166666666666667,6,False
Alicia Silverstone,2.86,7,False
Alicia Witt,3.3725,4,True
Aline MacMahon,3.4223529411764706,17,True
Aline Towne,3.3542857142857145,7,True
Alison Eastwood,3.19,5,False
Alison Elliott,3.132,5,False
Alison Faulk,3.27,1,False
Alison Lohman,3.22,1,False
Alison Skipworth,3.2553846153846155,13,False
Alix Talton,3.435714285714286,7,True
Allan Arbus,3.2733333333333334,9,True
Allan Cavan,3.4091666666666662,12,True
Allan Corduner,3.35,7,True
Allan Cuthbertson,3.3633333333333333,6,True
Allan F. Nicholls,3.3885714285714283,7,True
Allan Graf,3.2577777777777777,27,False
